item;idade;sexo;altura;peso;cabelo
1;20;Feminino;"1,73";51;Castanho
2;20;Masculino;"1,82";85;Preto
3;21;Masculino;"1,85";82;Castanho
4;21;Masculino;"1,73";120;Preto
5;19;Masculino;"1,75";72;Preto
6;23;Feminino;"1,65";62;Preto
7;21;Masculino;"1,75";74;Preto
8;22;Masculino;"1,82";80;Preto
9;20;Masculino;"1,84";70;Preto
10;21;Masculino;"1,78";70;Preto
11;19;Masculino;"2,01";95;Castanho
12;22;Masculino;"1,75";72;Preto
13;40;Masculino;"1,78";108;Castanho
14;21;Feminino;"1,54";52;Preto
15;19;Masculino;"1,65";66;Castanho
16;19;Feminino;"1,59";54;Castanho
17;20;Masculino;"1,85";75;Castanho
18;67;Masculino;"1,8";86;Preto